	ND	HFD	HFD_zinc
male	0.690156612	0.429022314	0.983453485
male	0.946230819	0.48618103	1.008809011
male	0.954735812	0.667626725	1.166703172
male	1.002873251	0.742970145	1.213468767
male	1.028543136	0.81435285	1.413886697
male	1.037106688	0.836990054	1.536377232
male	1.115366239	0.86710407	1.577695547
male	1.224987443	0.932535236	-
