"comparison","t_value","p_value"
"8 - 1",0.761484374871204,0.931653709506485
"40 - 1",2.7727152755352,0.0645939725844602
"200 - 1",5.95649705304324,0.000172158854987114
"1000 - 1",8.72867944491074,1.13383382371879e-06
"5000 - 1",14.0351028592122,4.13459488868284e-10
"20000 - 1",14.4151357050644,6.69797550756357e-12
