group	exp1	exp2	exp3
siNT_ZN	58.21510297	48.52272727	49.26971762
siNT_ZD	5.192034139	8.346839546	9.498207885
siNT_ZR	55.77003777	39.44817301	49.79338843
siZIP10_#1_ZN	43.22103533	39.48863636	46.54683065
siZIP10_#1_ZD	4.773662551	10.58601134	12.04933586
siZIP10_#1_ZR	13.30708661	16.98312236	14.31143114
siZIP10_#2_ZN	33.35968379	34.05122235	41.5081043
siZIP10_#2_ZD	10.49222798	14.03678606	17.85714286
siZIP10_#2_ZR	10.47077922	20.93802345	17.13961407
