group	ND	HFD	HFD_Zn
male	121.561793	93.8921747	93.40847532
male	108.2193476	91.29040667	86.86221471
male	110.2565172	81.59987072	92.16999202
male	111.877551	94.10555556	88.83139828
male	108.2864949	83.52895753	89.74285714
female	116.5285047	100.6597619	97.74304636
female	117.4029126	90.24145078	113.0595833
female	139.3713755	95.42753165	119.8949153
