"time","t_statistic","df_value","p_value"
0,20.3236524950156,3.88168705033342,4.3565795556716e-05
1,20.4393447419632,3.99949840531821,3.3869418475219e-05
2,9.42536847125939,2.89073215083019,0.00294054295743704
4,8.96636355498727,3.91415577285642,0.000945598881940579
6,-0.177846440321965,3.00512873544823,0.870156448985181
12,-0.559704987167702,2.68980376616633,0.618869144934642
