time	ZN	ZD
0	1.09327295	0.129420124
1	1.009787257	0.112384772
2	0.991037455	0.22123131
4	1.028404389	0.449115886
6	0.969800364	1.011263653
12	1.012208947	1.098882969
0	0.971206518	0.126418219
1	0.934497146	0.168343264
2	0.97625026	0.221944716
4	0.949661513	0.531530946
6	1.045803185	1.093407379
12	1.049631284	1.020095934
0	1.037241298	0.039240328
1	1.027106509	0.21169945
2	1.083632595	0.429542443
4	1.097918044	0.574903484
6	1.137135697	1.077148116
12	1.016597853	1.010488009
