"comparison","t_value","p_value"
"1 - 0",-0.869150468159909,0.849933766456109
"2 - 0",-0.338780707259419,0.996444256823036
"4 - 0",-0.171635035760473,0.99986076296988
"6 - 0",0.340234676982043,0.996370804791111
"12 - 0",-0.155268753391824,0.999914678117654
